E_ID,E_RAD,Questions Text,Question Print,Question Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0001,,Cholesterol only may be more appropriate for a non-fasting patient.,NULL,Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0002,,"Click ""Save"" if you wish to continue with this test, but please enter clinical details.",NULL,Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0003,,Click 'Save',NULL,Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0004,,continue,NULL,Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0005,,Ensure staff are aware of latex allergy. SLR,NULL,Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0006,,Examination would be worthless!,NULL,Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0007,,Health warning,NULL,Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0008,,If above 25 units you may not be able to have the examination. Please continue.,NULL,Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0009,,If this is NOT the booking blood request an antenatal 28 week blood instead.,NULL,Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0010,,May obtain a misleading result.,NULL,Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0011,,Ok to continue with examination,NULL,Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0012,,Please advise the patient that Radiology will contact them shortly regarding an appointment.  Now click 'Save' to continue.,NULL,Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0013,,Please click 'Cancel' to close this window.,NULL,Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0014,,Please click 'Save' to continue.,NULL,Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0015,,Please continue,NULL,Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0016,,Please continue with request,NULL,Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0017,,Please provide date smoking stopped in Clinical Details field,NULL,Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0018,,"Please provide details of Age of donor at time of harvest, date of egg harvest and date of egg transfer in Clinical Details field",NULL,Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0019,,Please provide number smoked per day in the Clinical Details field,NULL,Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0020,,Please state the condition,NULL,Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0021,,Please telephone the Laboratory to continue with this request.,NULL,Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0022,,Random Glucose cannot be ordered for a fasting patient,NULL,Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0023,,The patient will need to stop taking thier Metformin on the day of the exam and must not start taking it until 48 hours after the exam.,NULL,Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0024,,This request will be reviewed and justified by a Radiologist.,NULL,Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0025,,Use non latex gloves and check any equipment to be used,NULL,Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0026,,You can not proceed with this request,NULL,Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0027,,"You may now click  ""Save""",NULL,Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0028,,"You may now click ""Save"" to continue",NULL,Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0029,,You will not be able to proceed with this request,NULL,Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
