M_ID,M_RAD,Medication Description,Recent Code,Current Code,Code Intended,GP Ranking,IR Ranking,,,,,,,,,,,,,,,,,,,,
M0001,,Abelcet,R-ABE,C-ABE,I-ABE,255,255,,,,,,,,,,,,,,,,,,,,
M0002,,Acyclovir,R-ACY,C-ACY,I-ACY,255,255,,,,,,,,,,,,,,,,,,,,
M0003,,Ambisome,R-ABI,C-ABI,I-ABI,255,255,,,,,,,,,,,,,,,,,,,,
M0004,,Amikacin,R-AMI,C-AMI,I-AMI,255,255,,,,,,,,,,,,,,,,,,,,
M0005,,Amorolfine,R-ALF,C-ALF,I-ALF,255,255,,,,,,,,,,,,,,,,,,,,
M0006,,Amoxycillin,R-AMO,C-AMO,I-AMO,1,1,,,,,,,,,,,,,,,,,,,,
M0007,,Amphotericin B,R-AMB,C-AMB,I-AMB,255,255,,,,,,,,,,,,,,,,,,,,
M0008,,Ampicillin,R-AMP,C-AMP,I-AMP,255,255,,,,,,,,,,,,,,,,,,,,
M0009,,Azithromycin,R-AZI,C-AZI,I-AZI,255,255,,,,,,,,,,,,,,,,,,,,
M0010,,Benzylpenicilin,R-BEN,C-BEN,I-BEN,255,7,,,,,,,,,,,,,,,,,,,,
M0011,,Canesten,R-CAN,C-CAN,I-CAN,255,255,,,,,,,,,,,,,,,,,,,,
M0012,,Caspofungin,R-CAS,C-CAS,I-CAS,255,255,,,,,,,,,,,,,,,,,,,,
M0013,,Cefaclor,R-FAC,C-FAC,I-FAC,255,255,,,,,,,,,,,,,,,,,,,,
M0014,,Cefadroxil,R-FAD,C-FAD,I-FAD,255,255,,,,,,,,,,,,,,,,,,,,
M0015,,Cefalothin,R-LOT,C-LOT,I-LOT,255,255,,,,,,,,,,,,,,,,,,,,
M0016,,Cefixime,R-FIX,C-FIX,I-FIX,255,255,,,,,,,,,,,,,,,,,,,,
M0017,,Cefotaxime,R-TAX,C-TAX,I-TAX,255,255,,,,,,,,,,,,,,,,,,,,
M0018,,Cefoxitin,R-FOX,C-FOX,I-FOX,255,255,,,,,,,,,,,,,,,,,,,,
M0019,,Cefpirome,R-PIR,C-PIR,I-PIR,255,255,,,,,,,,,,,,,,,,,,,,
M0020,,Cefpodoxime,R-POD,C-POD,I-POD,255,255,,,,,,,,,,,,,,,,,,,,
M0021,,Ceftazidime,R-TAZ,C-TAZ,I-TAZ,255,255,,,,,,,,,,,,,,,,,,,,
M0022,,Ceftriaxone,R-AXO,C-AXO,I-AXO,255,255,,,,,,,,,,,,,,,,,,,,
M0023,,Cefuroxime,R-FUR,C-FUR,I-FUR,255,255,,,,,,,,,,,,,,,,,,,,
M0024,,Cefuroximeaxetil,R-AXE,C-AXE,I-AXE,255,255,,,,,,,,,,,,,,,,,,,,
M0025,,Cephalexin,R-LEX,C-LEX,I-LEX,255,255,,,,,,,,,,,,,,,,,,,,
M0026,,Chloramphenicol,R-CHL,C-CHL,I-CHL,255,255,,,,,,,,,,,,,,,,,,,,
M0027,,Ciprofloxacin,R-CIP,C-CIP,I-CIP,6,255,,,,,,,,,,,,,,,,,,,,
M0028,,Clarithromycin,R-CLA,C-CLA,I-CLA,255,255,,,,,,,,,,,,,,,,,,,,
M0029,,Clindamycin,R-CLI,C-CLI,I-CLI,255,255,,,,,,,,,,,,,,,,,,,,
M0030,,Clotrimazole,R-CLO,C-CLO,I-CLO,255,255,,,,,,,,,,,,,,,,,,,,
M0031,,Co-amoxiclav,R-COA,C-COA,I-COA,8,255,,,,,,,,,,,,,,,,,,,,
M0032,,Colistin,R-COL,C-COL,I-COL,255,255,,,,,,,,,,,,,,,,,,,,
M0033,,Cotrimoxazole,R-COT,C-COT,I-COT,255,255,,,,,,,,,,,,,,,,,,,,
M0034,,Doxycycline,R-DOX,C-DOX,I-DOX,4,4,,,,,,,,,,,,,,,,,,,,
M0035,,Ertapenem,R-ERT,C-ERT,I-ERT,255,255,,,,,,,,,,,,,,,,,,,,
M0036,,Erythromycin,R-ERY,C-ERY,I-ERY,2,255,,,,,,,,,,,,,,,,,,,,
M0037,,Ethambutol,R-ETH,C-ETH,I-ETH,255,255,,,,,,,,,,,,,,,,,,,,
M0038,,Famicyclovir,R-FAM,C-FAM,I-FAM,255,255,,,,,,,,,,,,,,,,,,,,
M0039,,Flucloxacillin,R-FLU,C-FLU,I-FLU,3,3,,,,,,,,,,,,,,,,,,,,
M0040,,Fluconazole,R-CON,C-CON,I-CON,255,255,,,,,,,,,,,,,,,,,,,,
M0041,,Flucytosine,R-CYT,C-CYT,I-CYT,255,255,,,,,,,,,,,,,,,,,,,,
M0042,,Fosfomycin,R-FOS,C-FOS,I-FOS,255,255,,,,,,,,,,,,,,,,,,,,
M0043,,Framycetin,R-FRA,C-FRA,I-FRA,255,255,,,,,,,,,,,,,,,,,,,,
M0044,,Fusidic acid,R-FUS,C-FUS,I-FUS,255,255,,,,,,,,,,,,,,,,,,,,
M0045,,Gentamicin,R-GEN,C-GEN,I-GEN,255,5,,,,,,,,,,,,,,,,,,,,
M0046,,Griseofulvin,R-GRI,C-GRI,I-GRI,255,255,,,,,,,,,,,,,,,,,,,,
M0047,,Imipenem,R-IMI,C-IMI,I-IMI,255,9,,,,,,,,,,,,,,,,,,,,
M0048,,Isoniazid,R-INA,C-INA,I-INA,255,255,,,,,,,,,,,,,,,,,,,,
M0049,,Itraconazole,R-ITR,C-ITR,I-ITR,255,255,,,,,,,,,,,,,,,,,,,,
M0050,,Ketoconazole,R-KET,C-KET,I-KET,255,255,,,,,,,,,,,,,,,,,,,,
M0051,,Levofloxacin,R-LEV,C-LEV,I-LEV,255,255,,,,,,,,,,,,,,,,,,,,
M0052,,Linezolid,R-LIN,C-LIN,I-LIN,255,255,,,,,,,,,,,,,,,,,,,,
M0053,,Mecillinam,R-MEC,C-MEC,I-MEC,255,255,,,,,,,,,,,,,,,,,,,,
M0054,,Meropenem,R-MER,C-MER,I-MER,255,255,,,,,,,,,,,,,,,,,,,,
