P_ID,P_RAD,Protocol Name,Protocol Description,,,,,,,,,,,,,,,,,,
P0001,,? Counselled for HIV,,,,,,,,,,,,,,,,,,,
P0002,,A/N Haemoglobinopathy,Remind about NHS questionnaire [checked Feb 2013 amh],,,,,,,,,,,,,,,,,,
P0003,,AA RAD Disabled,Disabled exams or protocols,,,,,,,,,,,,,,,,,,
P0004,,AA RAD Patient Choice  V4(app only),Patient site choice for appointment only,,,,,,,,,,,,,,,,,,
P0005,,AA RAD Patient Choice V2(mod),"Patient choice CT, MRI, NM and FLOR, RSH and PRH only",,,,,,,,,,,,,,,,,,
P0006,,AA RAD Patient Choice V3(XR all),"Version 3 Patient Choice for plain film, RSH, PRH, BNORTH, WCHURCH, LLOW, NPORT",,,,,,,,,,,,,,,,,,
P0007,,AA RAD Patient Choice V5(US 3sites),"Patient choice for Ultrasound, RSH, PRH and BNORTH",,,,,,,,,,,,,,,,,,
P0008,,AA RAD Patient Choice V8 (XR all),Version 8 Patient Choice then open access times then choice of open access or appointment,,,,,,,,,,,,,,,,,,
P0009,,Acanthamoeba,,,,,,,,,,,,,,,,,,,
P0010,,ACE advice,ACE advice,,,,,,,,,,,,,,,,,,
P0011,,Advice re: new Lipids requesting,Add two comments ,,,,,,,,,,,,,,,,,,
P0012,,AIS Urgency,Contact details for urgent ANCAs,,,,,,,,,,,,,,,,,,
P0013,,Alcohol abuse test (cec),alcohol honesty test,,,,,,,,,,,,,,,,,,
P0014,,Alcohol Units SLR,Alcohol questions SLR,,,,,,,,,,,,,,,,,,
P0015,,andy - test procol for related ques,andy - test procol for related questions,,,,,,,,,,,,,,,,,,
P0016,,Ante/Post Natal weeks,,,,,,,,,,,,,,,,,,,
P0017,,Ante-Natal Screening - HIV,Ante-Natal Screening - HIV JULY 2011,,,,,,,,,,,,,,,,,,
P0018,,Ante-Natal Screening + HIV,Ante-Natal Screening + HIV JULY 2011,,,,,,,,,,,,,,,,,,
P0019,,Antibiotic Assay Questions - Paired,Antibiotic Assay Questions - Pre & Post,,,,,,,,,,,,,,,,,,
P0020,,Antibiotic Assay Questions - Single,Antibiotic Assay Questions - Single,,,,,,,,,,,,,,,,,,
P0021,,Antibodies Required,Auto Immune Screen antibodies required,,,,,,,,,,,,,,,,,,
P0022,,Appointment required,No Walk in service for this exam,,,,,,,,,,,,,,,,,,
P0023,,Biologics / Chemotherapy,Info for biologic / chemotherapy screening,,,,,,,,,,,,,,,,,,
P0024,,Blood Bank - 28 week bloods  Andy,Questions asked on requesting 28 week bloods [checked Feb 2013 amh],,,,,,,,,,,,,,,,,,
P0025,,Blood Bank - Albumin ordering Andy,Questions asked on ordering HAS [checked Feb 2013 amh],,,,,,,,,,,,,,,,,,
P0026,,Blood Bank - Antenatal Partner Andy,Questions asked of Antenatal Partners [checked Feb 2013 amh],,,,,,,,,,,,,,,,,,
P0027,,Blood Bank - antibody Recall Andy,Questions asked on requesting antenatal antibody recall bloods [checked Feb 2013 amh],,,,,,,,,,,,,,,,,,
P0028,,Blood Bank - Booking bloods Andy,Questions asked on requesting booking bloods [checked Feb 2013 amh],,,,,,,,,,,,,,,,,,
