Q_ID,Q_RAD,Questions Text,Question Print,Question Type,,,,,,,,,,,,,,,,,,,,,,,
Q0001,,If this patient has just been started on Warfarin please complete a Warfarin Control request form and send with request,NULL,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0002,,All requests subject to vetting by Consultant Haematologist,NULL,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0003,,Countries visited?,NULL,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0004,,Is the patient for operation or dental extraction within 14 days?,NULL,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0005,,Fasting?,NULL,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0006,,Please give suspected allergens,,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0007,,Dosage Regimen,,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0008,,On Carbimazole,,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0009,,Thyroxine Dosage Regimen,,List,,,,,,,,,,,,,,,,,,,,,,,
Q0010,,Family or past history/TB exposure pos,,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0011,,Please state if ? Herpes virus,? Herpes virus,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0012,,Please state if ? ORF virus,? ORF virus,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0013,,Please send HVS NOT IUCD,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0014,,We will ONLY culture for MRSA,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0015,,Transferrin saturation not indicated unless Ferritin less than 750 ng/ml,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0016,,Requests will only be sent away if Transferrin saturation is greater than 60%,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0017,,Time post dose in hours,,Numeric,,,,,,,,,,,,,,,,,,,,,,,
Q0018,,Time post dose in hrs (12hr advised),,Numeric,,,,,,,,,,,,,,,,,,,,,,,
Q0019,,Time post dose in hrs (pre dose advised),,Numeric,,,,,,,,,,,,,,,,,,,,,,,
Q0020,,Time post dose in hrs (>6hr advised),,Numeric,,,,,,,,,,,,,,,,,,,,,,,
Q0021,,Please state if you want tests for PCP,? PCP,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0022,,Please state for Acanthamoeba,? Acanthamoeba,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0023,,Please state if Trichomonas required,? Wet film,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0024,,Please state if identification required,? ID,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0025,,Please State if foreign travel and which countries,Which countries ?,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0026,,Please state original pathogen,Old case of ?,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0027,,Antibodies required?,a/bs requested,Multiple selection,,,,,,,,,,,,,,,,,,,,,,,
Q0028,,Please state if Finger or Toe nail,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0029,,"When ordering creatinine clearance, please request serum creatinine (or U&E) at the same time",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0030,,This request will not be processed unless accompanied by a family origin questionnaire.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0031,,Please note - this will request an FBC in addition to the Glandular Fever test - please do not request a separate FBC,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0032,,Please ensure that an APC-R has been performed first. All requests subject to vetting,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0033,,Antibiotics (Recent/Current/Intended),Antibiotics,Medication,,,,,,,,,,,,,,,,,,,,,,,
Q0034,,Please give Clinical history and details of relevant treatment.,Clinical History,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0035,,Please state Precise Nature and Anatomical Site of Specimen.,Site of Specimen,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0036,,Always state date and time of LAST dose,Date and Time of LAST dose,DateTime,,,,,,,,,,,,,,,,,,,,,,,
Q0037,,Always state Date AND Time of sample,Date AND Time of Sample,DateTime,,,,,,,,,,,,,,,,,,,,,,,
Q0038,,Antibiotic to be Assayed,,List,,,,,,,,,,,,,,,,,,,,,,,
Q0039,,Please state if Pre or Post dose,Pre or Post Dose:,List,,,,,,,,,,,,,,,,,,,,,,,
Q0040,,Known antibodies,Known antibodies,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0041,,Known antibodies (Y/N),Known antibodies (Y/N),Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0042,,Known Blood Group,Known Blood Group,List,,,,,,,,,,,,,,,,,,,,,,,
Q0043,,Prophylactic Anti - D given in last 3 months?,Prophylactic Anti - D,List,,,,,,,,,,,,,,,,,,,,,,,
Q0044,,How many units?,Unit(s),Numeric,,,,,,,,,,,,,,,,,,,,,,,
Q0045,,Please state Dose (mg.),Dose (mg.) :,Numeric,,,,,,,,,,,,,,,,,,,,,,,
Q0046,,Last Haemoglobin result (g/dl)?,Haemoglobin (g/dl),Numeric,,,,,,,,,,,,,,,,,,,,,,,
Q0047,,Please state last 3 administered Warfarin doses - or if newly started.,Last three warfarin doses,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0048,,Please enter your GMC number,GMC Number,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0049,,fT3 is a discretionary test and will only be performed if justified by other results and/or relevant clinical history.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0050,,These specimens must be placed on ice and immediately transported to the laboratory.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0051,,Generally requested in hypoglycaemic patients (glucose <3.0mmol/L),,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0052,,"ALWAYS INFORM MICROBIOLOGY WHEN SENDING A CSF (OUT OF HOURS CONTACT ON-CALL BMS, VIA SWITCHBOARD).",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0053,,Autoimmune screens may not be processed if not accompanied by relevant clinical history,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0054,,"HIV Requested, Has the patient given consent ?",? Consent for test,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0055,,Has the patient stayed overseas in the previous 17 days ?,Overseas in last 17 days ?,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0056,,When screening for Wilson's disease please request Copper and Caeruloplasmin.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0057,,"Select ""Save"" to continue",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0058,,Please discuss this with the HPA 'flu unit or consultant microbiolgist BEFORE requesting.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0059,,Press button below to add date AND time required.,Date / time required,DateTime,,,,,,,,,,,,,,,,,,,,,,,
Q0060,,Reason for xmatch request if answer to question 3 is 'R7 - other',other reason for request,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0061,,Dose requirement for Cryoprecipitate is calculated from patient weight - ****************,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0062,,Routine PSA is available as a tick box on the left side of the requesting screen. Free/Total Ratio PSA is only available to Consultant Urologists and High Sensitivity PSA is only available post radical prostatectomy.,,Info,,,,,,,,,,,,,,,,,,,,,,,
